wav,int
6.344656E+02,-3.916425E-03
6.349478E+02,-3.560692E-03
6.354299E+02,-3.143980E-03
6.359120E+02,-2.710174E-03
6.363941E+02,-2.294062E-03
6.368762E+02,-1.917700E-03
6.373583E+02,-1.589906E-03
6.378405E+02,-1.313962E-03
6.383226E+02,-1.091124E-03
6.388047E+02,-9.215395E-04
6.392868E+02,-8.005422E-04
6.397689E+02,-7.141138E-04
6.402510E+02,-6.421266E-04
6.407332E+02,-5.630130E-04
6.412153E+02,-4.655818E-04
6.416974E+02,-3.563098E-04
6.421795E+02,-2.594945E-04
6.426616E+02,-2.078001E-04
6.431437E+02,-2.250543E-04
6.436259E+02,-3.124741E-04
6.441080E+02,-4.433721E-04
6.445901E+02,-5.733042E-04
6.450722E+02,-6.531438E-04
6.455543E+02,-6.524160E-04
6.460364E+02,-5.715835E-04
6.465186E+02,-4.429418E-04
6.470007E+02,-3.179041E-04
6.474828E+02,-2.467785E-04
6.479649E+02,-2.630709E-04
6.484470E+02,-3.704793E-04
6.489291E+02,-5.462685E-04
6.494113E+02,-7.505660E-04
6.498934E+02,-9.441215E-04
6.503755E+02,-1.099023E-03
6.508576E+02,-1.201665E-03
6.513397E+02,-1.251589E-03
6.518218E+02,-1.255818E-03
6.523040E+02,-1.223671E-03
6.527861E+02,-1.163631E-03
6.532682E+02,-1.083852E-03
6.537503E+02,-9.934474E-04
6.542324E+02,-9.021637E-04
6.547145E+02,-8.188973E-04
6.551967E+02,-7.506652E-04
6.556788E+02,-7.003194E-04
6.561609E+02,-6.682631E-04
6.566431E+02,-6.541032E-04
6.571251E+02,-6.594959E-04
6.576073E+02,-6.873846E-04
6.580894E+02,-7.423959E-04
6.585715E+02,-8.256439E-04
6.590536E+02,-9.347318E-04
6.595358E+02,-1.062831E-03
6.600178E+02,-1.202755E-03
6.605000E+02,-1.349241E-03
6.609821E+02,-1.500431E-03
6.614642E+02,-1.655960E-03
6.619463E+02,-1.812356E-03
6.624285E+02,-1.957746E-03
6.629105E+02,-2.072188E-03
6.633927E+02,-2.128607E-03
6.638748E+02,-2.101206E-03
6.643569E+02,-1.968729E-03
6.648390E+02,-1.713720E-03
6.653212E+02,-1.319016E-03
6.658032E+02,-7.652519E-04
6.662854E+02,-3.810247E-05
6.667675E+02,8.525467E-04
6.672496E+02,1.822779E-03
6.677317E+02,2.671781E-03
6.682139E+02,3.150452E-03
6.686959E+02,3.115910E-03
6.691781E+02,2.638977E-03
6.696602E+02,1.911295E-03
6.701423E+02,1.115530E-03
6.706244E+02,3.670151E-04
6.711066E+02,-2.829057E-04
6.715886E+02,-8.121176E-04
6.720708E+02,-1.220565E-03
