wav,int
6.624285e+002,2.042406e-003
6.629105e+002,1.821515e-003
6.633927e+002,1.618096e-003
6.638748e+002,1.443030e-003
6.643569e+002,1.315124e-003
6.648390e+002,1.258663e-003
6.653212e+002,1.298009e-003
6.658032e+002,1.455762e-003
6.662854e+002,1.747255e-003
6.667675e+002,2.167096e-003
6.672496e+002,2.661146e-003
6.677317e+002,3.104797e-003
6.682139e+002,3.350750e-003
6.686959e+002,3.320866e-003
6.691781e+002,3.064686e-003
6.696602e+002,2.697119e-003
6.701423e+002,2.321868e-003
6.706244e+002,1.999397e-003
6.711066e+002,1.750915e-003
6.715886e+002,1.580118e-003
6.720708e+002,1.477372e-003
6.725529e+002,1.426674e-003
6.730350e+002,1.408789e-003
6.735171e+002,1.406961e-003
6.739993e+002,1.413476e-003
6.744813e+002,1.429666e-003
6.749635e+002,1.464872e-003
6.754456e+002,1.527778e-003
6.759277e+002,1.619260e-003
6.764098e+002,1.727960e-003
6.768920e+002,1.832761e-003
6.773740e+002,1.908933e-003
6.778562e+002,1.940250e-003
6.783383e+002,1.924641e-003
6.788204e+002,1.875155e-003
6.793025e+002,1.810568e-003
6.797847e+002,1.746656e-003
6.802667e+002,1.686879e-003
6.807489e+002,1.621256e-003
6.812310e+002,1.531701e-003
6.817131e+002,1.403371e-003
6.821952e+002,1.235336e-003
6.826774e+002,1.044214e-003
6.831594e+002,8.597842e-004
6.836416e+002,7.111414e-004
6.841237e+002,6.169631e-004
6.846058e+002,5.791050e-004
6.850879e+002,5.865039e-004
6.855701e+002,6.288753e-004
6.860521e+002,7.129004e-004
6.865343e+002,8.697775e-004
6.870164e+002,1.155063e-003
6.874985e+002,1.632131e-003
6.879806e+002,2.344320e-003
6.884628e+002,3.298530e-003
6.889448e+002,4.450193e-003
6.894270e+002,5.715358e-003
6.899091e+002,6.981695e-003
6.903912e+002,8.140580e-003
6.908733e+002,9.109215e-003
6.913555e+002,9.832527e-003
6.918375e+002,1.028805e-002
6.923197e+002,1.047415e-002
6.928018e+002,1.039779e-002
6.932839e+002,1.006659e-002
6.937660e+002,9.486958e-003
6.942482e+002,8.669429e-003
6.947302e+002,7.636045e-003
6.952124e+002,6.427588e-003
6.956945e+002,5.108716e-003
6.961766e+002,3.754798e-003
6.966587e+002,2.445771e-003
6.971409e+002,1.253512e-003
6.976229e+002,2.251047e-004
6.981051e+002,-6.143674e-004
6.985872e+002,-1.262987e-003
6.990693e+002,-1.735304e-003
6.995514e+002,-2.056821e-003
7.000336e+002,-2.259454e-003
7.005156e+002,-2.373784e-003
7.009978e+002,-2.430856e-003
7.014799e+002,-2.456819e-003
7.019620e+002,-2.470722e-003
7.024441e+002,-2.485844e-003
7.029263e+002,-2.508246e-003
7.034083e+002,-2.538026e-003
7.038905e+002,-2.570504e-003
7.043726e+002,-2.597315e-003
7.048547e+002,-2.608711e-003
7.053368e+002,-2.593264e-003
7.058190e+002,-2.540661e-003
7.063010e+002,-2.444562e-003
7.067832e+002,-2.302796e-003
7.072653e+002,-2.120925e-003
7.077474e+002,-1.911036e-003
7.082295e+002,-1.691607e-003
7.087117e+002,-1.481973e-003
7.091937e+002,-1.300385e-003
7.096759e+002,-1.160922e-003
7.101580e+002,-1.071590e-003
7.106401e+002,-1.035132e-003
7.111222e+002,-1.049973e-003
7.116044e+002,-1.111053e-003
7.120864e+002,-1.210091e-003
7.125686e+002,-1.335929e-003
7.130507e+002,-1.476194e-003
7.135328e+002,-1.617999e-003
7.140149e+002,-1.750088e-003
7.144971e+002,-1.864553e-003
7.149791e+002,-1.957778e-003
7.154613e+002,-2.028954e-003
7.159434e+002,-2.078850e-003
7.164255e+002,-2.106812e-003
7.169076e+002,-2.110307e-003
7.173898e+002,-2.085577e-003
7.178718e+002,-2.030669e-003
7.183540e+002,-1.948213e-003
7.188361e+002,-1.846869e-003
7.193182e+002,-1.741574e-003
7.198003e+002,-1.648401e-003
7.202825e+002,-1.579837e-003
7.207645e+002,-1.542331e-003
7.212467e+002,-1.535431e-003
7.217288e+002,-1.556000e-003
7.222109e+002,-1.601493e-003
7.226930e+002,-1.673057e-003
7.231752e+002,-1.774079e-003
7.236572e+002,-1.906616e-003
7.241394e+002,-2.066681e-003
7.246215e+002,-2.242807e-003
7.251036e+002,-2.417775e-003
7.255857e+002,-2.575675e-003
7.260679e+002,-2.707276e-003
7.265499e+002,-2.813819e-003
7.270321e+002,-2.904800e-003
7.275142e+002,-2.990695e-003
7.279963e+002,-3.074796e-003
7.284784e+002,-3.147960e-003
7.289606e+002,-3.188452e-003
7.294426e+002,-3.167993e-003
7.299248e+002,-3.061899e-003
7.304069e+002,-2.849272e-003
7.308890e+002,-2.512199e-003
7.313711e+002,-2.027404e-003
7.318533e+002,-1.355814e-003
7.323353e+002,-4.452257e-004
7.328175e+002,7.519650e-004
7.332996e+002,2.253051e-003
7.337817e+002,4.006971e-003
7.342638e+002,5.877411e-003
7.347460e+002,7.628019e-003
7.352280e+002,8.975987e-003
7.357102e+002,9.658150e-003
7.361923e+002,9.489262e-003
7.366744e+002,8.439366e-003
7.371565e+002,6.640943e-003
7.376387e+002,4.372202e-003
7.381207e+002,1.963948e-003
7.386029e+002,-2.677730e-004
7.390850e+002,-2.085543e-003
7.395671e+002,-3.387204e-003
7.400492e+002,-4.188949e-003
7.405314e+002,-4.596889e-003
7.410134e+002,-4.745086e-003
7.414956e+002,-4.757769e-003
7.419777e+002,-4.716080e-003
7.424598e+002,-4.647933e-003
7.429419e+002,-4.546955e-003
7.434241e+002,-4.393213e-003
7.439061e+002,-4.174083e-003
7.443883e+002,-3.893898e-003
7.448704e+002,-3.573278e-003
7.453525e+002,-3.239530e-003
7.458346e+002,-2.921026e-003
7.463168e+002,-2.640098e-003
7.467988e+002,-2.410987e-003
7.472810e+002,-2.243335e-003
7.477631e+002,-2.141169e-003
7.482452e+002,-2.103482e-003
7.487273e+002,-2.121485e-003
7.492095e+002,-2.178359e-003
7.496915e+002,-2.251872e-003
7.501737e+002,-2.317891e-003
7.506558e+002,-2.359449e-003
7.511379e+002,-2.370719e-003
7.516200e+002,-2.358263e-003
7.521022e+002,-2.336743e-003
7.525842e+002,-2.321714e-003
7.530664e+002,-2.323560e-003
7.535485e+002,-2.342971e-003
7.540306e+002,-2.372697e-003
7.545127e+002,-2.401167e-003
7.549949e+002,-2.419686e-003
7.554769e+002,-2.424595e-003
7.559591e+002,-2.418400e-003
7.564412e+002,-2.406736e-003
7.569233e+002,-2.395697e-003
7.574054e+002,-2.388942e-003
7.578876e+002,-2.387525e-003
7.583696e+002,-2.391776e-003
7.588518e+002,-2.402288e-003
7.593339e+002,-2.421399e-003
7.598160e+002,-2.450624e-003
7.602981e+002,-2.489336e-003
7.607803e+002,-2.532689e-003
7.612623e+002,-2.572481e-003
7.617445e+002,-2.600115e-003
7.622266e+002,-2.611214e-003
7.627087e+002,-2.608250e-003
7.631908e+002,-2.600971e-003
7.636730e+002,-2.603310e-003
7.641550e+002,-2.628505e-003
7.646372e+002,-2.684094e-003
7.651193e+002,-2.768880e-003
7.656014e+002,-2.874420e-003
7.660835e+002,-2.988622e-003
7.665657e+002,-3.100655e-003
7.670477e+002,-3.204108e-003
7.675299e+002,-3.298296e-003
7.680120e+002,-3.385757e-003
7.684941e+002,-3.470505e-003
7.689762e+002,-3.553758e-003
7.694584e+002,-3.634628e-003
7.699404e+002,-3.710589e-003
7.704226e+002,-3.779080e-003
7.709047e+002,-3.839581e-003
7.713868e+002,-3.892388e-003
7.718689e+002,-3.937013e-003
7.723511e+002,-3.967450e-003
7.728331e+002,-3.968501e-003
7.733153e+002,-3.914553e-003
7.737974e+002,-3.766434e-003
7.742795e+002,-3.475797e-003
7.747616e+002,-2.993887e-003
7.752438e+002,-2.276890e-003
7.757258e+002,-1.302763e-003
7.762080e+002,-8.282720e-005
7.766901e+002,1.322968e-003
7.771722e+002,2.803755e-003
7.776543e+002,4.210441e-003
7.781365e+002,5.360033e-003
7.786185e+002,6.081827e-003
7.791007e+002,6.251682e-003
7.795828e+002,5.814477e-003
7.800649e+002,4.807957e-003
7.805470e+002,3.353855e-003
7.810292e+002,1.643872e-003
7.815112e+002,-1.168812e-004
7.819934e+002,-1.740551e-003
7.824755e+002,-3.087298e-003
7.829576e+002,-4.093214e-003
7.834397e+002,-4.759506e-003
7.839219e+002,-5.139014e-003
7.844039e+002,-5.305651e-003
7.848861e+002,-5.336974e-003
7.853682e+002,-5.294293e-003
7.858503e+002,-5.213436e-003
7.863324e+002,-5.110559e-003
7.868146e+002,-4.989839e-003
7.872966e+002,-4.851129e-003
7.877788e+002,-4.697364e-003
7.882609e+002,-4.536200e-003
7.887430e+002,-4.377960e-003
7.892251e+002,-4.233314e-003
7.897073e+002,-4.110117e-003
7.901893e+002,-4.011805e-003
7.906715e+002,-3.938129e-003
7.911536e+002,-3.886116e-003
7.916357e+002,-3.851075e-003
7.921178e+002,-3.827166e-003
7.926000e+002,-3.807952e-003
7.930820e+002,-3.787785e-003
7.935642e+002,-3.761310e-003
7.940463e+002,-3.726391e-003
7.945284e+002,-3.684011e-003
7.950105e+002,-3.637914e-003
7.954927e+002,-3.593456e-003
7.959747e+002,-3.555762e-003
7.964569e+002,-3.527959e-003
7.969390e+002,-3.510506e-003
7.974211e+002,-3.501731e-003
7.979032e+002,-3.499890e-003
7.983854e+002,-3.503900e-003
7.988674e+002,-3.514681e-003
7.993496e+002,-3.533973e-003
7.998317e+002,-3.561974e-003
8.003138e+002,-3.595690e-003
8.007959e+002,-3.627728e-003
8.012781e+002,-3.647541e-003
8.017601e+002,-3.643073e-003
8.022423e+002,-3.604891e-003
8.027244e+002,-3.528747e-003
8.032065e+002,-3.417022e-003
8.036886e+002,-3.279289e-003
8.041708e+002,-3.129506e-003
8.046528e+002,-2.985200e-003
8.051350e+002,-2.864973e-003
8.056171e+002,-2.784782e-003
8.060992e+002,-2.758312e-003
8.065813e+002,-2.793046e-003
8.070635e+002,-2.889759e-003
8.075455e+002,-3.040217e-003
8.080277e+002,-3.228578e-003
8.085098e+002,-3.434083e-003
8.089919e+002,-3.633544e-003
8.094740e+002,-3.808478e-003
8.099562e+002,-3.947881e-003
8.104382e+002,-4.048375e-003
8.109204e+002,-4.113629e-003
8.114025e+002,-4.148780e-003
8.118846e+002,-4.157674e-003
8.123668e+002,-4.139886e-003
8.128489e+002,-4.092295e-003
8.133310e+002,-4.012100e-003
8.138131e+002,-3.899645e-003
8.142952e+002,-3.758551e-003
8.147773e+002,-3.592667e-003
8.152595e+002,-3.400190e-003
8.157416e+002,-3.167434e-003
8.162237e+002,-2.868726e-003
8.167058e+002,-2.474511e-003
8.171879e+002,-1.961704e-003
8.176700e+002,-1.331436e-003
8.181522e+002,-6.181723e-004
8.186343e+002,1.045505e-004
8.191164e+002,7.391201e-004
8.195985e+002,1.190413e-003
8.200806e+002,1.384357e-003
8.205627e+002,1.296680e-003
8.210449e+002,9.563065e-004
8.215270e+002,4.396461e-004
8.220091e+002,-1.561658e-004
8.224912e+002,-7.412051e-004
8.229733e+002,-1.246237e-003
8.234554e+002,-1.640050e-003
8.239376e+002,-1.921724e-003
8.244197e+002,-2.109219e-003
8.249018e+002,-2.223490e-003
8.253839e+002,-2.279890e-003
8.258660e+002,-2.286481e-003
8.263481e+002,-2.248543e-003
8.268303e+002,-2.175952e-003
8.273124e+002,-2.088940e-003
8.277945e+002,-2.013651e-003
8.282766e+002,-1.976612e-003
8.287587e+002,-1.994951e-003
8.292408e+002,-2.069517e-003
8.297230e+002,-2.184953e-003
8.302051e+002,-2.315617e-003
8.306872e+002,-2.436852e-003
8.311693e+002,-2.530746e-003
8.316514e+002,-2.590695e-003
8.321335e+002,-2.618954e-003
8.326157e+002,-2.619778e-003
8.330978e+002,-2.594153e-003
8.335799e+002,-2.536642e-003
8.340620e+002,-2.438533e-003
8.345441e+002,-2.292777e-003
8.350262e+002,-2.100844e-003
8.355084e+002,-1.875011e-003
8.359905e+002,-1.636419e-003
8.364726e+002,-1.408297e-003
8.369547e+002,-1.211313e-003
8.374368e+002,-1.057245e-003
8.379189e+002,-9.482543e-004
8.384011e+002,-8.798110e-004
8.388832e+002,-8.443948e-004
8.393653e+002,-8.344738e-004
8.398474e+002,-8.425429e-004
8.403295e+002,-8.606978e-004
8.408116e+002,-8.788851e-004
8.412938e+002,-8.843411e-004
8.417759e+002,-8.656581e-004
