wav,int
556.3627,0.001275577
556.8448,0.001151508
557.327,0.000904341
557.8091,0.000494575
558.2912,-3.41267E-05
558.7733,-0.000566488
559.2554,-0.000979728
559.7375,-0.001197799
560.2197,-0.001240852
560.7018,-0.00121247
561.1839,-0.001257569
561.666,-0.00148653
562.1481,-0.001922879
562.6302,-0.002488578
563.1124,-0.003037584
563.5945,-0.003414984
564.0766,-0.003507318
564.5587,-0.003286294
565.0408,-0.002799597
565.5229,-0.002146741
566.0051,-0.001431051
566.4872,-0.000741404
566.9693,-0.000141161
567.4514,0.000327388
567.9335,0.000627814
568.4156,0.000728931
568.8978,0.000617129
569.3799,0.000310676
569.862,-0.000129104
570.3441,-0.000616419
570.8262,-0.001057642
571.3083,-0.001391155
571.7905,-0.001605488
572.2726,-0.001733488
572.7547,-0.001825422
573.2368,-0.001908925
573.7189,-0.001964013
574.201,-0.001919085
574.6832,-0.001682365
575.1653,-0.001179724
575.6474,-0.000401763
576.1295,0.000580067
576.6116,0.00162069
577.0938,0.002551745
577.5759,0.00323076
578.058,0.003572788
578.5401,0.003575394
579.0222,0.003301001
579.5043,0.00285268
579.9865,0.002333293
580.4686,0.001826872
580.9507,0.001387083
581.4328,0.001031859
581.9149,0.000753625
582.397,0.000527217
582.8792,0.000321387
583.3613,0.000102761
583.8434,-0.000155636
584.3255,-0.000468693
584.8076,-0.000840889
585.2897,-0.001267811
585.7719,-0.001744115
586.254,-0.002271089
586.7361,-0.002858621
587.2182,-0.003519446
587.7003,-0.004257201
588.1824,-0.005051316
588.6646,-0.00585245
589.1467,-0.006581033
589.6288,-0.007149534
590.1109,-0.00748596
590.593,-0.007546336
591.0751,-0.007325924
591.5573,-0.006850521
592.0394,-0.006163095
592.5215,-0.005307058
593.0036,-0.004322916
593.4857,-0.003254954
593.9678,-0.002156072
594.45,-0.001096544
594.9321,-0.000163055
595.4142,0.000565502
595.8963,0.001032457
596.3784,0.001224736
596.8605,0.001177854
597.3427,0.000966734
597.8248,0.000681671
598.3069,0.000397127
598.789,0.000163282
599.2711,2.08745E-06
599.7532,-8.20653E-05
600.2354,-8.64381E-05
600.7175,-4.43994E-06
601.1996,0.000169481
601.6817,0.000426014
602.1638,0.000728665
602.6459,0.001017312
603.1281,0.001214336
603.6102,0.001254343
604.0923,0.001107358
604.5744,0.000786585
605.0565,0.000343603
605.5386,-0.000155801
606.0208,-0.000653375
606.5029,-0.001121067
606.985,-0.001558212
607.4671,-0.001978196
607.9492,-0.002388481
608.4313,-0.002778428
608.9135,-0.003120131
609.3956,-0.003386217
609.8777,-0.003565194
610.3599,-0.003674187
610.8419,-0.003750076
611.3241,-0.003832683
611.8062,-0.003940034
612.2883,-0.00405494
612.7704,-0.00412725
613.2526,-0.004094395
613.7346,-0.003913273
614.2168,-0.003577353
614.6989,-0.003126348
615.181,-0.002628143
615.6631,-0.002162666
616.1453,-0.001791502
616.6273,-0.001541704
617.1095,-0.001406678
617.5916,-0.001354063
618.0737,-0.001345178
618.5558,-0.0013427
619.038,-0.001318851
619.52,-0.00125377
620.0022,-0.001132171
620.4843,-0.000947229
