wav,int
4.05520400E+02,1.56039600E+00
4.05580700E+02,1.57477200E+00
4.05641000E+02,1.59315000E+00
4.05701200E+02,1.61360300E+00
4.05761500E+02,1.63357600E+00
4.05821700E+02,1.65026800E+00
4.05882000E+02,1.66200300E+00
4.05942300E+02,1.66880000E+00
4.06002500E+02,1.67221800E+00
4.06062800E+02,1.67434700E+00
4.06123100E+02,1.67662400E+00
4.06183300E+02,1.67915000E+00
4.06243600E+02,1.68079900E+00
4.06303900E+02,1.68002900E+00
4.06364100E+02,1.67583700E+00
4.06424400E+02,1.66870200E+00
4.06484600E+02,1.66040400E+00
4.06544900E+02,1.65330400E+00
4.06605200E+02,1.64930900E+00
4.06665400E+02,1.64913200E+00
4.06725700E+02,1.65193200E+00
4.06786000E+02,1.65570400E+00
4.06846300E+02,1.65767500E+00
4.06906500E+02,1.65509500E+00
4.06966800E+02,1.64649800E+00
4.07027000E+02,1.63221000E+00
4.07087300E+02,1.61447400E+00
4.07147600E+02,1.59690700E+00
4.07207800E+02,1.58403200E+00
4.07268100E+02,1.58068300E+00
4.07328400E+02,1.59145200E+00
4.07388600E+02,1.62100100E+00
4.07448900E+02,1.67402000E+00
4.07509200E+02,1.75609900E+00
4.07569400E+02,1.87414700E+00
4.07629700E+02,2.03822100E+00
4.07689900E+02,2.26807700E+00
4.07750200E+02,2.60787300E+00
4.07810500E+02,3.23324700E+00
4.07870700E+02,6.00000000E+00
4.07931000E+02,6.00000000E+00
4.07991300E+02,3.07688500E+00
4.08051500E+02,2.61726800E+00
4.08111800E+02,2.34670800E+00
4.08172100E+02,2.15724500E+00
4.08232300E+02,2.01717100E+00
4.08292600E+02,1.91463900E+00
4.08352800E+02,1.84423300E+00
4.08413100E+02,1.80344700E+00
4.08473400E+02,1.79110200E+00
4.08533700E+02,1.80628200E+00
4.08593900E+02,1.84845100E+00
4.08654200E+02,1.91743400E+00
4.08714400E+02,2.01492000E+00
4.08774700E+02,2.14707800E+00
4.08835000E+02,2.32985500E+00
4.08895200E+02,2.61211000E+00
4.08955500E+02,3.26230200E+00
4.09015800E+02,6.00000000E+00
4.09076000E+02,6.00000000E+00
4.09136300E+02,6.00000000E+00
4.09196600E+02,6.00000000E+00
4.09256800E+02,2.83062800E+00
4.09317100E+02,2.41905400E+00
4.09377300E+02,2.20399500E+00
4.09437600E+02,2.07390000E+00
4.09497900E+02,1.99692100E+00
4.09558100E+02,1.95724900E+00
4.09618400E+02,1.94544500E+00
4.09678700E+02,1.95557500E+00
4.09739000E+02,1.98480200E+00
4.09799200E+02,2.03372200E+00
4.09859500E+02,2.10612500E+00
4.09919700E+02,2.20830200E+00
4.09980000E+02,2.34826100E+00
4.10040300E+02,2.52912500E+00
4.10100500E+02,2.72801200E+00
4.10160800E+02,2.84623300E+00
4.10221100E+02,2.77218200E+00
4.10281300E+02,2.59138700E+00
4.10341600E+02,2.41964700E+00
4.10401900E+02,2.29213400E+00
4.10462100E+02,2.20817700E+00
4.10522400E+02,2.16055000E+00
4.10582600E+02,2.14225600E+00
4.10642900E+02,2.14713200E+00
4.10703200E+02,2.17150900E+00
4.10763400E+02,2.21473200E+00
4.10823700E+02,2.27994400E+00
4.10884000E+02,2.37265200E+00
4.10944200E+02,2.49828400E+00
4.11004500E+02,2.65341000E+00
4.11064800E+02,2.79789500E+00
4.11125000E+02,2.82685200E+00
4.11185300E+02,2.69567400E+00
4.11245500E+02,2.50309000E+00
4.11305800E+02,2.32839400E+00
4.11366100E+02,2.19076800E+00
4.11426400E+02,2.08935200E+00
4.11486600E+02,2.01787700E+00
4.11546900E+02,1.96939100E+00
4.11607100E+02,1.93807100E+00
4.11667400E+02,1.91959600E+00
4.11727700E+02,1.91138600E+00
4.11787900E+02,1.91249400E+00
4.11848200E+02,1.92291900E+00
4.11908500E+02,1.94251800E+00
4.11968700E+02,1.96966400E+00
4.12029000E+02,2.00080200E+00
4.12089300E+02,2.03038400E+00
4.12149500E+02,2.05218200E+00
4.12209800E+02,2.06190500E+00
4.12270100E+02,2.05885400E+00
4.12330300E+02,2.04556500E+00
4.12390600E+02,2.02546000E+00
4.12450800E+02,2.00091200E+00
4.12511100E+02,1.97309600E+00
4.12571400E+02,1.94279400E+00
4.12631700E+02,1.91153600E+00
4.12691900E+02,1.88231600E+00
4.12752200E+02,1.85859600E+00
