sample1,,
Wavelength (nm),Abs,
581.4500122,0.11484541,
581.2999878,0.110605434,
581.1500244,0.100276448,
581,0.095306583,
580.8499756,0.092487141,
580.7000122,0.092066512,
580.5499878,0.093290836,
580.4000244,0.094177134,
580.25,0.095711522,
580.0999756,0.097328529,
579.9500122,0.099278025,
579.7999878,0.101414144,
579.6500244,0.103691347,
579.5,0.105035633,
579.3499756,0.107757919,
579.2000122,0.110118985,
579.0499878,0.113232024,
578.9000244,0.11615058,
578.75,0.1183578,
578.5999756,0.118302897,
578.4500122,0.117190801,
578.2999878,0.119490951,
578.1500244,0.122752331,
578,0.118560761,
577.8499756,0.1063006,
577.7000122,0.101948343,
577.5499878,0.101041451,
577.4000244,0.096622087,
577.25,0.095866054,
577.0999756,0.097325251,
576.9500122,0.098935835,
576.7999878,0.10112574,
576.6500244,0.103224233,
576.5,0.105039328,
576.3499756,0.106752135,
576.2000122,0.110075958,
576.0499878,0.112039901,
575.9000244,0.115215153,
575.75,0.118526585,
575.5999756,0.120209128,
575.4500122,0.120119378,
575.2999878,0.121455342,
575.1500244,0.124677129,
575,0.128310755,
574.8499756,0.12827149,
574.7000122,0.117532216,
574.5499878,0.108040541,
574.4000244,0.108284347,
574.25,0.107518919,
574.0999756,0.103274532,
573.9500122,0.100241624,
573.7999878,0.101989232,
573.6500244,0.10371498,
573.5,0.105172508,
573.3499756,0.107259043,
573.2000122,0.109848611,
573.0499878,0.112449996,
572.9000244,0.11531429,
572.75,0.118295692,
572.5999756,0.120966241,
572.4500122,0.122060865,
572.2999878,0.124325708,
572.1500244,0.127652794,
572,0.131979644,
571.8499756,0.135821849,
571.7000122,0.133256629,
571.5499878,0.119802766,
571.4000244,0.113602616,
571.25,0.11536821,
571.0999756,0.116871811,
570.9500122,0.112421624,
570.7999878,0.105412625,
570.6500244,0.104503125,
570.5,0.106131338,
570.3499756,0.108678132,
570.2000122,0.111576013,
570.0499878,0.114225537,
569.9000244,0.116876215,
569.75,0.119568028,
569.5999756,0.121031947,
569.4500122,0.12401022,
569.2999878,0.126382187,
569.1500244,0.130580813,
569,0.135322824,
568.8499756,0.139788002,
568.7000122,0.139684439,
568.5499878,0.127266318,
568.4000244,0.118833691,
568.25,0.120195776,
568.0999756,0.122257821,
567.9500122,0.123841934,
567.7999878,0.11614006,
567.6500244,0.108830795,
567.5,0.108203672,
567.3499756,0.110307492,
567.2000122,0.113250606,
567.0499878,0.116381481,
566.9000244,0.118521281,
566.75,0.121644929,
566.5999756,0.125139207,
566.4500122,0.127894804,
566.2999878,0.131573126,
566.1500244,0.136740685,
566,0.140623033,
565.8499756,0.145022467,
565.7000122,0.140005305,
565.5499878,0.127033398,
565.4000244,0.122797146,
565.25,0.125481233,
565.0999756,0.128815517,
564.9500122,0.13249673,
564.7999878,0.128014356,
564.6500244,0.116337866,
564.5,0.112604693,
564.3499756,0.11479193,
564.2000122,0.117243968,
564.0499878,0.120519847,
563.9000244,0.123617835,
563.75,0.127163574,
563.5999756,0.13077867,
563.4500122,0.134351075,
563.2999878,0.139034212,
563.1500244,0.143573105,
563,0.1470875,
562.8499756,0.141553059,
562.7000122,0.130232096,
562.5499878,0.12733756,
562.4000244,0.130312711,
562.25,0.134316415,
562.0999756,0.139102131,
561.9500122,0.141728729,
561.7999878,0.132410273,
561.6500244,0.120219573,
561.5,0.117461614,
561.3499756,0.120982453,
561.2000122,0.123815805,
561.0499878,0.126936927,
560.9000244,0.130625188,
560.75,0.135168538,
560.5999756,0.138826579,
560.4500122,0.142167673,
560.2999878,0.146487713,
560.1500244,0.146220416,
560,0.13692297,
559.8499756,0.131544918,
559.7000122,0.133717552,
559.5499878,0.137731686,
559.4000244,0.142458901,
559.25,0.147753939,
559.0999756,0.150935397,
558.9500122,0.143299922,
558.7999878,0.126689702,
558.6500244,0.122436918,
558.5,0.124995031,
558.3499756,0.128463313,
558.2000122,0.131826341,
558.0499878,0.135376871,
557.9000244,0.138793007,
557.75,0.143404275,
557.5999756,0.14797917,
557.4500122,0.145808861,
557.2999878,0.137960419,
557.1500244,0.135272488,
557,0.139348716,
